Feature,rank,C_VISUAL_PATH,C_NAME,MOD,key_for_search,lab_low,lab_high,raw_text,ref_link
KUH|COMPONENT_ID:2320#MG/DL@Labs|Aggregate:Last,65,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol in HDL (LP15489-5)\Cholesterol in HDL | Bld-Ser-Plas (LP99408-4)\HDLc SerPl-mCnc (2085-9)\HDL(#2320),HDL(#2320),@Labs|Aggregate:Last,hdl,40,59,"Recommended HDL range. Typically, doctors recommend an HDL level of 60 milligrams per deciliter (mg/dL) of blood or higher. HDL that falls within the range of 40 to 59 mg/dL is normal, but could be higher. Having HDL under 40 mg/dL increases your risk of developing heart disease.",https://www.healthline.com/health/high-hdl
KUH|COMPONENT_ID:3010#%@Labs|Aggregate:Last,66,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Granulocytes (LP18643-4)\Neutrophils (LP14267-6)\Neutrophils | Bld-Ser-Plas (LP47720-5)\Neutrophils/leuk NFr Bld Auto (770-8)\NEUTROPHILS %(#3010),NEUTROPHILS %(#3010),@Labs|Aggregate:Last,neutrophils,1.5,8,"It is derived by multiplying the WBC count times the percent of neutrophils in the differential WBC count. The percent of neutrophils consists of the segmented (fully mature) neutrophils) + the bands (almost mature neutrophils). The normal range for the ANC = 1.5 to 8.0 (1,500 to 8,000/mm3).",https://www.medicinenet.com/script/main/art.asp?articlekey=20030
KUH|COMPONENT_ID:3016#K/UL@Labs|Aggregate:Median,67,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Lymphocytes (LP14540-6)\Lymphocytes | Bld-Ser-Plas (LP48347-6)\Lymphocytes # Bld Auto (731-0)\ABSOLUTE LYMPH COUNT(#3016),ABSOLUTE LYMPH COUNT(#3016),@Labs|Aggregate:Median,lymph,1000,4800,"Normal ranges and levels. Lymphocyte levels can change according to a person's race, gender, location, and lifestyle habits. The normal lymphocyte range in adults is between 1,000 and 4,800 lymphocytes in 1 microliter (µL) of blood. In children, the normal range is between 3,000 and 9,500 lymphocytes in 1 µL of blood.",https://www.medicalnewstoday.com/articles/320987.php
KUH|COMPONENT_ID:3017#%@Labs|Aggregate:Last,69,Laboratory Tests (KUH Hierarchy)\HEMATOLOGY (KUH)\254-BLOOD COUNTS\MONO (#3017),MONO (#3017),@Labs|Aggregate:Last,mono,2,7,Reference ranges for differential white blood cell count in normal adults is as follows: Neutrophils - 2.0–7.0×109/l (40–80%) Lymphocytes - 1.0–3.0×109/l (20–40%) Monocytes - 0.2–1.0×109/l (2–10%),https://emedicine.medscape.com/article/2085133-overview
KUH|COMPONENT_ID:3041#M/UL@Labs|Aggregate:Median,70,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Erythroid cells (LP35614-4)\Erythrocytes (LP14304-7)\Erythrocytes | Bld-Ser-Plas (LP41522-1)\RBC # Bld Auto (789-8)\RBC COUNT(#3041),RBC COUNT(#3041),@Labs|Aggregate:Median,rbc count,4.2,5.4,"The ""normal"" RBC reference range for women is 4.2 to 5.4 million/mcL; for men, 4.7 to 6.1 million/mcL; for children, 4.1 to 5.5 million/mcL.",https://www.verywellhealth.com/red-blood-cell-rbc-count-1942659
KUH|COMPONENT_ID:2012#MG/DL@Labs|Aggregate:Median,71,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Sugars/Sugar metabolism (LP31399-6)\Glucose (LP14635-4)\Glucose | Bld-Ser-Plas (LP42107-0)\Glucose Bld Strip.auto-mCnc (2340-8)\POC GLUCOSE(#2012),POC GLUCOSE(#2012),@Labs|Aggregate:Median,glucose,3.9,7.1,"The normal blood glucose level (tested while fasting) for non-diabetics, should be between 3.9 and 7.1 mmol/L (70 to 130 mg/dL). The mean normal blood glucose level in humans is about 5.5 mmol/L (100 mg/dL); however, this level fluctuates throughout the day.",https://en.wikipedia.org/wiki/Blood_sugar_level
KUH|COMPONENT_ID:3044#G/DL@Labs|Aggregate:Median,72,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte mean corpuscular hemoglobin concentration (LP17695-5)\Erythrocyte Mean Corpuscular Hemoglobin Concentration | Red Blood Cells (LP48919-2)\MCHC RBC Auto-mCnc (786-4)\MCHC(#3044),MCHC(#3044),@Labs|Aggregate:Median,mchc,27,33,Reference Range. The reference ranges for mean corpuscular hemoglobin and mean corpuscular hemoglobin concentration are as follows: MCH: 27-33 picograms (pg)/cell in adults. MCHC: 33-36 g/dL in adults.,https://emedicine.medscape.com/article/2054497-overview
KUH|COMPONENT_ID:3042#FL@Labs|Aggregate:Last,74,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte mean corpuscular volume (LP15191-7)\Erythrocyte mean corpuscular volume | Red Blood Cells (LP99254-2)\MCV RBC Auto (787-2)\MCV(#3042),MCV(#3042),@Labs|Aggregate:Last,mcv,80,96,"MCV is elevated or decreased in accordance with average red cell size; ie, low MCV indicates microcytic (small average RBC size), normal MCV indicates normocytic (normal average RBC size), and high MCV indicates macrocytic (large average RBC size). The reference range for MCV is 80-96 fL/red cell in adult.",https://emedicine.medscape.com/article/2085770-overview
KUH|COMPONENT_ID:2034#%@Labs|Aggregate:Median,76,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Hemoglobin normal variant (LP31617-1)\Hemoglobin A (LP14554-7)\Hemoglobin A1 (LP16412-6)\Hemoglobin A1c (LP16413-4)\Hemoglobin A1c | Bld-Ser-Plas (LP100945-7)\Hgb A1c MFr Bld HPLC (17856-6)\HEMOGLOBIN A1C(#2034),HEMOGLOBIN A1C(#2034),@Labs|Aggregate:Median,hemoglobin a1c,5.7,6.4,"The more glucose that enters the bloodstream, the higher the amount of glycated hemoglobin,” Dr. Dodell says. An A1C level below 5.7 percent is considered normal. An A1C between 5.7 and 6.4 percent signals prediabetes. Type 2 diabetes is diagnosed when the A1C is over 6.5 percent.",https://www.everydayhealth.com/type-2-diabetes/.../ways-lower-your-a1c/
KUH|COMPONENT_ID:3041#M/UL@Labs|Aggregate:Last,80,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Erythroid cells (LP35614-4)\Erythrocytes (LP14304-7)\Erythrocytes | Bld-Ser-Plas (LP41522-1)\RBC # Bld Auto (789-8)\RBC COUNT(#3041),RBC COUNT(#3041),@Labs|Aggregate:Last,rbc count,4.2,5.4,"The ""normal"" RBC reference range for women is 4.2 to 5.4 million/mcL; for men, 4.7 to 6.1 million/mcL; for children, 4.1 to 5.5 million/mcL.",https://www.verywellhealth.com/red-blood-cell-rbc-count-1942659
KUH|COMPONENT_ID:3010#%@Labs|Aggregate:Median,81,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Granulocytes (LP18643-4)\Neutrophils (LP14267-6)\Neutrophils | Bld-Ser-Plas (LP47720-5)\Neutrophils/leuk NFr Bld Auto (770-8)\NEUTROPHILS %(#3010),NEUTROPHILS %(#3010),@Labs|Aggregate:Median,neutrophils,1.5,8,"It is derived by multiplying the WBC count times the percent of neutrophils in the differential WBC count. The percent of neutrophils consists of the segmented (fully mature) neutrophils) + the bands (almost mature neutrophils). The normal range for the ANC = 1.5 to 8.0 (1,500 to 8,000/mm3).",https://www.medicinenet.com/script/main/art.asp?articlekey=20030
KUH|COMPONENT_ID:3044#G/DL@Labs|Aggregate:Last,82,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte mean corpuscular hemoglobin concentration (LP17695-5)\Erythrocyte Mean Corpuscular Hemoglobin Concentration | Red Blood Cells (LP48919-2)\MCHC RBC Auto-mCnc (786-4)\MCHC(#3044),MCHC(#3044),@Labs|Aggregate:Last,mchc,27,33,Reference Range. The reference ranges for mean corpuscular hemoglobin and mean corpuscular hemoglobin concentration are as follows: MCH: 27-33 picograms (pg)/cell in adults. MCHC: 33-36 g/dL in adults.,https://emedicine.medscape.com/article/2054497-overview
KUH|COMPONENT_ID:3019#K/UL@Labs|Aggregate:Median,83,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Monocytes+Macrophages (LP14312-0)\Monocytes (LP14313-8)\Monocytes | Bld-Ser-Plas (LP48349-2)\Monocytes # Bld Auto (742-7)\ABSOLUTE MONO COUNT(#3019),ABSOLUTE MONO COUNT(#3019),@Labs|Aggregate:Median,mono,2,7,Reference ranges for differential white blood cell count in normal adults is as follows: Neutrophils - 2.0–7.0×109/l (40–80%) Lymphocytes - 1.0–3.0×109/l (20–40%) Monocytes - 0.2–1.0×109/l (2–10%),https://emedicine.medscape.com/article/2085133-overview
KUH|COMPONENT_ID:3020#%@Labs|Aggregate:Last,85,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Granulocytes (LP18643-4)\Eosinophils (LP14539-8)\Eosinophils | Bld-Ser-Plas (LP48337-7)\Eosinophil/leuk NFr Bld Auto (713-8)\EOSINOPHILS %(#3020),EOSINOPHILS %(#3020),@Labs|Aggregate:Last,eosinophils,0,6,The serum reference ranges of eosinophils are as follows: Eosinophils blood (%): 0.0-6.0 (This range may vary slightly in different laboratories.) Eosinophil blood count (absolute): 30-350. The percentage of eosinophils is multiplied by the white blood cell count to give the absolute eosinophil count.,https://emedicine.medscape.com/article/2090595-overview
KUH|COMPONENT_ID:2318#MG/DL@Labs|Aggregate:Median,87,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol | Bld-Ser-Plas (LP43571-6)\Cholest SerPl-mCnc (2093-3)\CHOLESTEROL(#2318),CHOLESTEROL(#2318),@Labs|Aggregate:Median,cholesterol,200,239,Cholesterol levels for adults. Total cholesterol levels less than 200 milligrams per deciliter (mg/dL) are considered desirable for adults. A reading between 200 and 239 mg/dL is considered borderline high and a reading of 240 mg/dL and above is considered high. LDL cholesterol levels should be less than 100 mg/dL.,https://www.medicalnewstoday.com/articles/315900.php
KUH|COMPONENT_ID:3008#K/UL@Labs|Aggregate:Last,90,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Platelets (LP14597-6)\Platelets | Bld-Ser-Plas (LP41375-4)\Platelet # Bld Auto (777-3)\PLATELET COUNT(#3008),PLATELET COUNT(#3008),@Labs|Aggregate:Last,platelet count,150000,450000,"A normal platelet count ranges from 150,000 to 450,000 platelets per microliter of blood. Having more than 450,000 platelets is a condition called thrombocytosis; having less than 150,000 is known as thrombocytopenia. You get your platelet number from a routine blood test called a complete blood count (CBC).",https://www.hopkinsmedicine.org/heart_vascular.../platelets.html
KUH|COMPONENT_ID:2032#G/DL@Labs|Aggregate:Last,91,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Protein (LP15838-3)\Protein | Bld-Ser-Plas (LP69961-8)\Prot SerPl-mCnc (2885-2)\TOTAL PROTEIN(#2032),TOTAL PROTEIN(#2032),@Labs|Aggregate:Last,total protein,6,8.3,The normal range for total protein is between 6 and 8.3 grams per deciliter (g/dL). This range may vary slightly among laboratories. These ranges are also due to other factors such as: age.,https://www.healthline.com/health/total-protein
KUH|COMPONENT_ID:485#MG/DL@Labs|Aggregate:Last,92,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol non HDL | Bld-Ser-Plas (LP52754-6)\NonHDLc SerPl-mCnc (43396-1)\NON HDL CHOLESTEROL(#485),NON HDL CHOLESTEROL(#485),@Labs|Aggregate:Last,non hdl cholesterol,160,189,160– 189 mg/dL (4.1 – 4.8 mmol/L) is considered borderline high. 130 – 159 mg/dL (3.4 – 4.0 mmol/L) is considered near ideal. below 130 mg/dL (below 3.4 mmol/L) is considered ideal for people at risk of heart disease. below 100 mg/dL (below 2.6 mmol/L) is considered ideal for people at very high risk of heart disease.,https://www.docsopinion.com/health-and.../non-hdl-cholesterol-non-hdl-c/
KUH|COMPONENT_ID:3043#PG@Labs|Aggregate:Last,96,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Red cell indices (LP31669-2)\Erythrocyte mean corpuscular hemoglobin (LP17689-8)\Erythrocyte Mean Corpuscular Hemoglobin | Red Blood Cells (LP48918-4)\MCH RBC Qn Auto (785-6)\MCH(#3043),MCH(#3043),@Labs|Aggregate:Last,mch,27,33,Reference Range. The reference ranges for mean corpuscular hemoglobin and mean corpuscular hemoglobin concentration are as follows: MCH: 27-33 picograms (pg)/cell in adults. MCHC: 33-36 g/dL in adults.,https://emedicine.medscape.com/article/2054497-overview
KUH|COMPONENT_ID:3045#FL@Labs|Aggregate:Last,99,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Platelets (LP14597-6)\Platelet indices (LP31668-4)\Platelet mean volume (LP17657-5)\Platelet Mean Volume | Bld-Ser-Plas (LP48921-8)\PMV Bld Auto (32623-1)\MPV(#3045),MPV(#3045),@Labs|Aggregate:Last,mpv,150000,4.00E+05,"A CBC test may include the MPV test.. The test gives a platelet count per microliter (mcL) of blood. The measurement is the number of platelets a person has, on average, per microliter. The ideal platelet range is 150,000 to 400,000 per mcL in most healthy people.",https://www.medicalnewstoday.com/articles/322726.php
KUH|COMPONENT_ID:7002#@Labs|Aggregate:Last,100,Laboratory Tests (LOINC Hierarchy)\Urinalysis (LP32744-2)\Analytes (LP40317-7)\Specific gravity (LP15865-6)\Sp Gr Ur Strip.auto (53326-5)\URINE SPEC GRAVITY(#7002),URINE SPEC GRAVITY(#7002),@Labs|Aggregate:Last,urine specific gravity,1.01,1.03,"Adults generally have a specific gravity in the range of 1.010 to 1.030 Increases in specific gravity (hypersthenuria, i.e. increased concentration of solutes in the urine) may be associated with dehydration, diarrhea, emesis, excessive sweating, urinary tract/bladder infection, glucosuria, renal artery stenosis, ...",https://en.wikipedia.org/wiki/Urine_specific_gravity
KUH|COMPONENT_ID:3023#%@Labs|Aggregate:Median,101,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Granulocytes (LP18643-4)\Basophils (LP14328-6)\Basophils | Bld-Ser-Plas (LP48336-9)\Basophils/leuk NFr Bld Auto (706-2)\BASOPHILS %(#3023),BASOPHILS %(#3023),@Labs|Aggregate:Median,basophils,45,70,"As with platelets, neutrophil levels may become depressed in patients on myelosuppressive therapy such as imatinib mesylate (also called IM , Gleevec or Glivec ). The normal range of the percentage of neutrophils is between 45% and 70%. The Basophils should remain within the normal range, generally between 0% and 2%.",https://www.cmlsupport.org.uk/section/normal-blood-counts
KUH|COMPONENT_ID:2020#MG/DL@Labs|Aggregate:Last,102,"Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Mineral, bone, joint, connective tissue (LP31413-5)\Magnesium (LP14343-5)\Magnesium | Bld-Ser-Plas (LP46088-8)\Magnesium SerPl-mCnc (19123-9)\MAGNESIUM(#2020)",MAGNESIUM(#2020),@Labs|Aggregate:Last,magnesium,1.5,2.5,Hypomagnesemia is an electrolyte imbalance and is indicated by a low level of magnesium in the blood. The normal adult value for magnesium is 1.5-2.5 mEq/L. Magnesium is one of many electrolytes in your body and normal levels of magnesium are important for the maintenance of heart and nervous system function.,chemocare.com/chemotherapy/side.../hypomagnesemia-low-magnesium.aspx
KUH|COMPONENT_ID:3085#SEC@Labs|Aggregate:Last,103,Laboratory Tests (LOINC Hierarchy)\Coagulation (LP19284-6)\Routine (LP31624-7)\Activated partial thromboplastin time (aPTT) (LP15957-1)\Activated partial thromboplastin time (aPTT) | Platelet poor plasma (LP120569-1)\aPTT PPP (14979-9)\PTT(#3085),PTT(#3085),@Labs|Aggregate:Last,ptt,25,35,Normal PTT test results. PTT test results are measured in seconds. Normal results are typically 25 to 35 seconds. This means that it took your blood sample 25 to 35 seconds to clot after adding the chemicals.,https://www.healthline.com/health/partial-thromboplastin-time-ptt
KUH|COMPONENT_ID:2322#MG/DL@Labs|Aggregate:Median,104,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol in VLDL (LP15492-9)\Cholesterol in VLDL | Bld-Ser-Plas (LP99409-2)\VLDLc SerPl-mCnc (2091-7)\VLDL(#2322),VLDL(#2322),@Labs|Aggregate:Median,vldl,2,30,"VLDL (Bad) Cholesterol. VLDL contains the highest amount of triglycerides. VLDL is considered a type of bad cholesterol, because it helps cholesterol build up on the walls of arteries. Normal VLDL levels are from 2 to 30 mg/dL (0.1 to 1.7 mmol/l).",https://medlineplus.gov/ency/patientinstructions/000386.htm
KUH|COMPONENT_ID:2033#MG/DL@Labs|Aggregate:Last,106,"Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Mineral, bone, joint, connective tissue (LP31413-5)\Phosphate (LP14912-7)\Phosphate | Bld-Ser-Plas (LP43710-0)\Phosphate SerPl-mCnc (2777-1)\PHOSPHORUS(#2033)",PHOSPHORUS(#2033),@Labs|Aggregate:Last,phosphorus,2.5,4.5,"Serum phosphorus is measured in milligrams of phosphorus per deciliter of blood (mg/dL). According to Mayo Medical Laboratories, a normal range for adults is generally 2.5 to 4.5 mg/dL. The normal range varies slightly depending on your age.",https://www.healthline.com/health/serum-phosphorus
KUH|COMPONENT_ID:3022#K/UL@Labs|Aggregate:Median,108,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Granulocytes (LP18643-4)\Eosinophils (LP14539-8)\Eosinophils | Bld-Ser-Plas (LP48337-7)\Eosinophil # Bld Auto (711-2)\ABSOLUTE EOS COUNT(#3022),ABSOLUTE EOS COUNT(#3022),@Labs|Aggregate:Median,eosinophil,0,6,Eosinophils blood (%): 0.0-6.0 (This range may vary slightly in different laboratories.) Eosinophil blood count (absolute): 30-350. The percentage of eosinophils is multiplied by the white blood cell count to give the absolute eosinophil count. This range may vary slightly in different laboratories.,https://emedicine.medscape.com/article/2090595-overview
KUH|COMPONENT_ID:2065#U/L@Labs|Aggregate:Last,113,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Enzymes (see also Inborn errors metabolism lysosomal) (LP31392-1)\Alanine aminotransferase (LP15333-5)\Alanine Aminotransferase | Bld-Ser-Plas (LP44699-4)\ALT SerPl-cCnc (1742-6)\ALT(#2065),ALT(#2065),@Labs|Aggregate:Last,alt,10,40,Normal levels of AST and ALT may slightly vary depending on the individual laboratory's reference values. Typically the range for normal AST is reported between 10 to 40 units per liter and ALT between 7 to 56 units per liter. Mild elevations are generally considered to be 2-3 times higher than the normal range.,https://www.emedicinehealth.com/liver_blood_tests/article_em.htm
KUH|COMPONENT_ID:2064#U/L@Labs|Aggregate:Last,114,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Enzymes (see also Inborn errors metabolism lysosomal) (LP31392-1)\Aspartate aminotransferase (LP15426-7)\Aspartate Aminotransferase | Bld-Ser-Plas (LP45656-3)\AST SerPl-cCnc (1920-8)\AST(#2064),AST(#2064),@Labs|Aggregate:Last,ast,10,40,Normal levels of AST and ALT may slightly vary depending on the individual laboratory's reference values. Typically the range for normal AST is reported between 10 to 40 units per liter and ALT between 7 to 56 units per liter. Mild elevations are generally considered to be 2-3 times higher than the normal range.,https://www.emedicinehealth.com/liver_blood_tests/article_em.htm
KUH|COMPONENT_ID:3000#GM/DL@Labs|Aggregate:Last,116,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Hemoglobin (LP14449-0)\Hemoglobin | Bld-Ser-Plas (LP43135-0)\Hgb Bld-mCnc (718-7)\HEMOGLOBIN(#3000),HEMOGLOBIN(#3000),@Labs|Aggregate:Last,hemoglobin,13.5,17.5,"The normal range for hemoglobin is: For men, 13.5 to 17.5 grams per deciliter. For women, 12.0 to 15.5 grams per deciliter.",https://www.mayoclinic.org/tests-procedures/hemoglobin.../pac-20385075
KUH|COMPONENT_ID:3171#PG/ML@Labs|Aggregate:Median,117,Laboratory Tests (KUH Hierarchy)\HEMATOLOGY (KUH)\242-B12/FOLATE\VITAMIN B12 (#3171),VITAMIN B12 (#3171),@Labs|Aggregate:Median,vitamin b12,100,Inf,Older adults with a vitamin B12 level less than 100 pg/mL (74 pmol/L) may also have symptoms. Deficiency should be confirmed by checking the level of a substance in the blood called methylmalonic acid.,https://medlineplus.gov/ency/article/003705.htm
KUH|COMPONENT_ID:2023#G/DL@Labs|Aggregate:Last,118,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Protein (LP15838-3)\Albumin (LP6118-6)\Albumin | Bld-Ser-Plas (LP43038-6)\Albumin SerPl BCG-mCnc (61151-7)\ALBUMIN(#2023),ALBUMIN(#2023),@Labs|Aggregate:Last,albumin,3.5,5.5,The reference range for albumin testing is as follows: The normal range is 3.5 to 5.5 g/dL or 35-55 g/liter. This range may vary slightly in different laboratories. Albumin composes 50%-60% of blood plasma proteins.,https://emedicine.medscape.com/article/2054430-overview
KUH|COMPONENT_ID:3012#K/UL@Labs|Aggregate:Median,121,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Granulocytes (LP18643-4)\Neutrophils (LP14267-6)\Neutrophils | Bld-Ser-Plas (LP47720-5)\Neutrophils # Bld Auto (751-8)\ABSOLUTE NEUTROPHIL(#3012),ABSOLUTE NEUTROPHIL(#3012),@Labs|Aggregate:Median,absolute neutrophil,1.5,8,"It is derived by multiplying the WBC count times the percent of neutrophils in the differential WBC count. The percent of neutrophils consists of the segmented (fully mature) neutrophils) + the bands (almost mature neutrophils). The normal range for the ANC = 1.5 to 8.0 (1,500 to 8,000/mm3).",https://www.medicinenet.com/script/main/art.asp?articlekey=20030
KUH|COMPONENT_ID:2321#MG/DL@Labs|Aggregate:Median,122,Laboratory Tests (LOINC Hierarchy)\Chemistry (LP31388-9)\Lipids (LP15705-4)\Cholesterol (LP15493-7)\Cholesterol in LDL (LP15491-1)\Cholesterol in LDL | Bld-Ser-Plas (LP99407-6)\LDLc SerPl-mCnc (2089-1)\LDL(#2321),LDL(#2321),@Labs|Aggregate:Median,ldl,100,129,LDL cholesterol levels should be less than 100 mg/dL. Levels of 100 to 129 mg/dL are acceptable for people with no health issues but may be of more concern for those with heart disease or heart disease risk factors. A reading of 130 to 159 mg/dL is borderline high and 160 to 189 mg/dL is high.,https://www.medicalnewstoday.com/articles/315900.php
KUH|COMPONENT_ID:3009#K/UL@Labs|Aggregate:Last,123,Laboratory Tests (LOINC Hierarchy)\Hematology (LP31756-7)\Hematology (LP30786-5)\Cell Fractions/Differential (LP19481-8)\Myeloid cells (LP15094-3)\Leukocytes (LP14419-3)\Leukocytes | Bld-Ser-Plas (LP41402-6)\WBC # Bld (26464-8)\WBC COUNT(#3009),WBC COUNT(#3009),@Labs|Aggregate:Last,wbc count,4500,11000,"The normal number of WBCs in the blood is 4,500 to 11,000 WBC per microliter (4.5 to 11.0 × 109/L). Normal value ranges may vary slightly among different labs. Some labs use different measurements or may test different specimens. Talk to your provider about your test results.",https://medlineplus.gov/ency/article/003643.htm
KUH|COMPONENT_ID:1180000608#CM2@Labs|Aggregate:Median,124,Cardiology Lab Results\Echo (KUH)\DOBUTAMINE STRESS ECHOCARDIOGRAM W/2-D + DOPPLER ECHO\MV VALVE AREA P 1/2 METHOD (#1180000608),MV VALVE AREA P 1/2 METHOD (#1180000608),@Labs|Aggregate:Median,mv valve area p 1/2 method,4,5,"Mitral valve area (PHT) ... Normal, 4.0-5.0 cm2 ... diastole and the time point 
where the gradient is half the maximum initial value. ... The deceleration slope is 
sometimes bimodal, the decline of mitral flow velocity being more rapid in early 
diastole than during the following part of the E-wave. ... MVA, Mitral Valve Area (
cm2) ...||Sep 7, 2010 ... In normal cardiac physiology, the mitral valve opens during left ... valve orifice area by planimetry of the mitral leaflets at the level of tips (Fig. ... the same method can also be used in 3D echocardiography en-face view of mitral valve (
Fig. ... Calculation of mitral valve area (MVA) by pressure half-time (P1/2 t) ...||Doppler pressure half-time is used clinically to calculate mitral valve area in mitral ... In normal subjects pressure half-times were 20--60 msec, in patients with 
... It is concluded that Doppler ultrasound is a useful method in the evaluation of 
..... gradient half-time (P 1/2), mitral valve areas (calculated by the Gorlin formula 
and ...||Estimation of mitral valve area using the pressure half-time method in a ... The 
deceleration slope should not be traced from the early part (left), but using the 
extrapolation of the ... The T1/2 method is widely used because it is easy to ..... 
However, normal resting values of pulmonary artery ...||transesophageal echocardiography; SWL, stroke work loss; P, mean ... equation-
derived aortic valve area; v, velocity of AS jet; AA, size of the ... region of flow 
acceleration into the jet An optimal signal shows a smooth velocity curve with a 
narrow velocity range ... method in a patient with mitral stenosis in atrial 
fibrillation.||... MitraClip system leads to a reduction in the mitral valve orifice area (MVA). To 
... tion of the PHT method for assessment of MVA in stenotic .... using the minimal P value approach.20 The ability of postinterven- ... Normal Gradient at Discharge.||Echo is an effective, noninvasive method for measuring CO. ... Doing this will 
calculate a value for VTI by taking area under the curve. .... and the image is 
maximized so that the mitral valve is well visual- ized. ... Example of normal EPSS 
in patient with normal LVEF (Image 1.14): ...... Roy PM, Colombet I, Durieux P, et 
al.||May 1, 2012 ... A reliable method for the assessment of the mitral valve (MV) area is essential for 
the ... loop was developed in our laboratory and previously described in detail (1,2). .... A p value <0.05 was considered statistically significant.||Below an up-to-date list of echocardiographic normal values. ... Linear method .... 
BSA, Body surface area; LV, left ventricular; 2D, 2-dimensional. .... Assessment of mitral valve anatomy according to the Wilkins score[10] ... T1/2, =190 ms ... Foale 
R, Nihoyannopoulos P, McKenna W, Kleinebenne A, Nadazdin A, Rowland E, ...||Useful diagnostic frequency range (Tradeoff : penetration vs spatial resolution) 
..... e) Normal values 2.8 to 3.2 cm. 2) TVI of mitral annulus ... Sample volume 1-2 
cm into R-superior vein. 3. Normal values ...... 2) Mitral valve area (P ½ T method)
.",www.csecho.ca/wp-content/themes/twentyeleven.../cardiomath/?...
